;Gebietsname;Wahlberechtigte;Abgegebene;Ungültige;Gültige;ÖVP;SPÖ;FPÖ;GRÜNE;NEOS;BIER;MFG;BGE;LMP;GAZA;KPÖ;KEINE;
G41109;Langenstein;1951;1609;16;1593;301;468;499;115;110;33;13;;1;7;27;19;
G41110;Luftenberg an der Donau;3366;2778;28;2750;578;785;839;219;183;40;11;;13;2;56;24;
G41111;Mauthausen;3456;2646;24;2622;623;773;649;192;216;49;15;;9;10;63;23;
G41112;Mitterkirchen im Machland;1379;1166;15;1151;389;218;370;45;71;24;4;;4;1;14;11;
G41113;Münzbach;1395;1202;20;1182;442;121;440;50;68;17;6;;14;1;11;12;
G41114;Naarn im Machlande;2879;2346;32;2314;793;428;739;111;146;24;14;;7;8;23;21;
G41115;Pabneukirchen;1317;1106;14;1092;392;131;412;43;68;10;12;;5;0;7;12;
G41116;Perg;6503;5014;61;4953;1299;1041;1524;374;384;97;44;;21;13;106;50;
G41117;Rechberg;775;664;10;654;286;81;173;36;33;13;9;;4;1;8;10;
G41118;Ried in der Riedmark;3492;2912;32;2880;732;774;757;245;204;58;16;;11;4;53;26;
G41119;St. Georgen am Walde;1629;1337;25;1312;394;217;529;56;56;16;12;;6;2;13;11;
G41120;St. Georgen an der Gusen;3382;2724;40;2684;597;762;691;230;214;63;20;;18;4;56;29;
G41121;St. Nikola an der Donau;542;452;10;442;136;86;147;28;20;9;1;;5;0;6;4;
G41122;St. Thomas am Blasenstein;761;649;4;645;278;56;214;22;35;5;14;;4;0;8;9;
G41123;Saxen;1309;1097;17;1080;293;232;391;46;62;14;10;;4;0;19;9;
G41124;Schwertberg;3951;3234;50;3184;803;910;864;230;206;62;15;;15;8;46;25;
G41125;Waldhausen im Strudengau;2265;1929;37;1892;528;350;690;104;93;37;22;;14;1;34;19;
G41126;Windhaag bei Perg;1148;950;20;930;339;121;294;61;64;19;11;;4;2;12;3;
G41199;Wahlkarten - Perg;0;1291;17;1274;364;288;274;126;114;36;14;;11;3;26;18;
G41200;Ried im Innkreis;46194;37010;440;36570;10857;5150;12845;2599;2967;736;403;;176;98;508;231;
G41201;Andrichsfurt;603;488;3;485;192;45;173;17;36;6;2;;4;0;8;2;
G41202;Antiesenhofen;773;613;10;603;182;79;250;22;35;15;3;;2;0;11;4;
G41203;Aurolzmünster;2158;1579;16;1563;407;224;669;77;117;20;18;;5;5;14;7;
G41204;Eberschwang;2720;2095;35;2060;479;358;777;115;186;51;37;;7;2;33;15;
G41205;Eitzing;706;556;4;552;143;87;215;35;43;11;3;;5;1;3;6;
G41206;Geiersberg;411;335;8;327;107;61;99;17;29;3;1;;0;0;8;2;
G41207;Geinberg;1041;817;11;806;213;120;329;53;48;11;9;;4;1;11;7;
G41208;Gurten;910;746;5;741;222;137;246;50;39;23;3;;2;3;9;7;
G41209;Hohenzell;1865;1530;22;1508;543;134;435;147;161;25;23;;9;6;16;9;
G41210;Kirchdorf am Inn;485;415;2;413;151;35;159;30;21;4;2;;2;0;7;2;
G41211;Kirchheim im Innkreis;645;546;5;541;167;61;220;39;39;7;3;;0;0;3;2;
G41212;Lambrechten;1064;863;11;852;305;81;339;25;61;21;12;;2;0;4;2;
G41213;Lohnsburg am Kobernaußerwald;1740;1412;20;1392;435;152;531;83;91;24;28;;12;2;23;11;
G41214;Mehrnbach;1816;1406;9;1397;409;187;530;93;98;32;10;;5;6;20;7;
G41215;Mettmach;1930;1506;30;1476;388;193;687;45;80;27;20;;4;0;17;15;
G41216;Mörschwang;256;218;1;217;91;25;49;24;17;5;1;;4;0;1;0;
G41217;Mühlheim am Inn;534;438;3;435;132;79;153;34;22;6;0;;3;0;5;1;
G41218;Neuhofen im Innkreis;1944;1583;10;1573;465;255;461;145;174;14;23;;7;3;19;7;
G41219;Obernberg am Inn;1074;724;3;721;178;110;287;65;45;8;4;;2;1;11;10;
G41220;Ort im Innkreis;961;748;10;738;194;82;316;49;60;7;6;;5;1;12;6;
G41221;Pattigham;801;635;8;627;195;77;210;54;40;16;13;;9;0;8;5;
G41222;Peterskirchen;543;458;7;451;189;37;138;22;34;9;5;;5;0;8;4;
G41223;Pramet;835;689;10;679;186;90;273;32;59;9;7;;2;0;14;7;
G41224;Reichersberg;1163;895;13;882;274;111;320;46;84;16;11;;4;0;10;6;
G41225;Ried im Innkreis;7967;5540;39;5501;1358;1068;1632;517;531;130;49;;24;55;113;24;
G41226;St. Georgen bei Obernberg am Inn;435;357;2;355;168;21;87;35;30;5;1;;1;0;5;2;
G41227;St. Marienkirchen am Hausruck;708;608;10;598;211;47;209;50;40;21;10;;2;0;6;2;
G41228;St. Martin im Innkreis;1374;1043;10;1033;306;132;364;85;80;24;10;;5;5;18;4;
G41229;Schildorn;987;809;10;799;262;126;258;46;64;13;10;;4;1;9;6;
G41230;Senftenbach;610;485;7;478;140;59;162;25;55;13;5;;6;0;9;4;
G41231;Taiskirchen im Innkreis;1915;1580;28;1552;544;157;535;125;119;29;14;;7;1;13;8;
G41232;Tumeltsham;1251;1044;18;1026;319;103;348;103;98;17;13;;6;4;13;2;
G41233;Utzenaich;1240;1025;11;1014;312;116;372;78;83;25;9;;4;1;6;8;
G41234;Waldzell;1801;1394;18;1376;444;213;505;66;79;29;11;;4;0;16;9;
G41235;Weilbach;487;418;9;409;160;33;154;27;19;7;3;;2;0;3;1;
G41236;Wippenham;441;384;3;381;102;75;129;23;31;5;7;;0;0;6;3;
G41299;Wahlkarten - Ried im Innkreis;0;1028;19;1009;284;180;224;100;119;48;17;;7;0;16;14;
G41300;Rohrbach;45242;38053;534;37519;13196;5243;11469;2632;2792;670;443;;208;30;540;296;
G41304;Altenfelden;1762;1439;21;1418;397;181;501;103;129;31;13;;21;3;28;11;
G41305;Arnreit;946;810;9;801;318;71;227;74;58;9;15;;5;3;12;9;
G41306;Atzesberg;356;289;4;285;96;31;113;14;17;5;2;;1;0;3;3;
G41307;Auberg;469;401;10;391;159;32;134;17;20;8;7;;6;0;5;3;
G41309;Haslach an der Mühl;2051;1609;20;1589;419;338;432;168;140;27;17;;8;1;31;8;
G41311;Hörbich;328;268;8;260;104;18;107;12;8;3;3;;1;0;3;1;
G41312;Hofkirchen im Mühlkreis;1202;964;8;956;328;141;278;79;83;20;4;;6;0;8;9;
G41313;Julbach;1239;1015;13;1002;269;215;356;33;67;13;15;;3;2;21;8;
G41314;Kirchberg ob der Donau;869;726;12;714;268;118;201;38;57;9;4;;4;0;12;3;
G41315;Klaffer am Hochficht;1022;845;11;834;283;86;378;23;32;6;5;;3;1;11;6;
G41316;Kleinzell im Mühlkreis;1392;1086;9;1077;332;218;255;103;100;22;8;;10;3;17;9;
G41317;Kollerschlag;1195;995;19;976;366;147;374;25;32;10;6;;2;0;8;6;
G41318;Lembach im Mühlkreis;1195;926;14;912;295;135;318;49;64;15;13;;1;1;13;8;
G41319;Lichtenau im Mühlkreis;394;338;9;329;131;49;120;6;10;3;3;;1;0;6;0;
G41320;Nebelberg;497;415;3;412;179;65;114;21;10;5;9;;5;0;3;1;
G41321;Neufelden;893;733;10;723;259;102;174;97;55;8;11;;4;1;9;3;
G41322;Niederkappel;794;680;16;664;253;48;252;27;31;18;6;;4;0;18;7;
G41323;Niederwaldkirchen;1500;1243;18;1225;424;217;326;99;84;22;15;;13;0;14;11;
G41324;Oberkappel;516;426;5;421;207;37;127;12;20;3;4;;0;1;5;5;
G41325;Oepping;1282;1048;7;1041;354;109;394;55;76;16;9;;3;1;18;6;
G41326;Peilstein im Mühlviertel;1252;1032;14;1018;388;131;344;44;60;14;11;;9;1;11;5;
G41327;Pfarrkirchen im Mühlkreis;1119;913;8;905;397;97;249;60;55;15;6;;3;0;17;6;
G41328;Putzleinsdorf;1247;1033;25;1008;390;89;324;74;70;15;25;;2;0;12;7;
G41329;Neustift im Mühlkreis;1117;901;5;896;407;121;191;61;58;22;12;;4;1;12;7;
G41331;St. Johann am Wimberg;839;705;11;694;202;85;269;56;52;13;10;;2;0;3;2;
G41332;St. Martin im Mühlkreis;3003;2508;27;2481;855;388;661;220;197;52;36;;8;3;41;20;
G41333;St. Oswald bei Haslach;405;360;5;355;135;58;112;25;13;3;0;;1;0;5;3;
G41334;St. Peter am Wimberg;1472;1256;20;1236;469;179;305;86;107;26;18;;8;2;20;16;
G41336;St. Ulrich im Mühlkreis;573;457;6;451;165;64;130;33;31;7;8;;2;0;9;2;
G41337;St. Veit im Mühlkreis;1038;866;10;856;359;104;247;47;60;17;8;;4;1;5;4;
G41338;Sarleinsbach;1785;1503;32;1471;579;142;462;107;106;13;26;;8;0;14;14;
G41341;Schwarzenberg am Böhmerwald;439;349;3;346;155;49;106;9;14;5;1;;1;0;3;3;
G41342;Ulrichsberg;2331;1813;26;1787;611;246;573;140;127;35;20;;4;0;18;13;
G41343;Aigen-Schlägl;2551;1970;23;1947;660;247;669;119;149;33;20;;10;2;23;15;
G41344;Rohrbach-Berg;4071;3213;50;3163;1052;481;842;289;301;65;38;;18;2;48;27;
G41345;Helfenberg;1208;1029;16;1013;332;136;325;44;112;23;10;;5;0;17;9;
G41346;St. Stefan-Afiesl;890;738;12;726;273;82;216;55;50;16;4;;4;1;15;10;
G41399;Wahlkarten - Rohrbach;0;1151;15;1136;326;186;263;108;137;43;21;;14;0;22;16;
G41400;Schärding;44000;35678;430;35248;11686;4501;13004;2076;2169;647;280;;139;49;465;232;
G41401;Altschwendt;563;481;7;474;151;79;170;25;22;11;7;;1;2;4;2;
G41402;Andorf;4067;3148;46;3102;958;443;1223;179;166;44;27;;8;0;37;17;
G41403;Brunnenthal;1522;1197;9;1188;393;158;410;79;78;31;7;;8;1;21;2;
G41404;Diersbach;1234;1028;12;1016;327;130;372;57;59;29;11;;4;4;16;7;
G41405;Dorf an der Pram;878;740;9;731;276;85;216;46;65;18;7;;5;1;8;4;
G41406;Eggerding;1074;888;6;882;293;80;368;33;58;15;8;;5;0;13;9;
G41407;Engelhartszell;738;514;1;513;174;64;186;38;16;21;3;;5;0;5;1;
G41408;Enzenkirchen;1432;1171;20;1151;301;130;566;32;69;16;9;;2;0;14;12;
G41409;Esternberg;2277;1771;27;1744;683;139;651;87;101;26;11;;11;3;20;12;
G41410;Freinberg;928;707;3;704;295;96;226;33;34;8;5;;0;0;5;2;
G41411;Kopfing im Innkreis;1592;1317;16;1301;378;109;585;69;83;32;11;;8;1;12;13;
G41412;Mayrhof;251;230;4;226;104;17;82;8;9;3;2;;1;0;0;0;
G41413;Münzkirchen;2036;1664;17;1647;561;210;628;86;87;30;6;;7;0;23;9;
G41414;Raab;1828;1459;21;1438;421;168;589;110;79;25;4;;6;1;26;9;
G41415;Rainbach im Innkreis;1253;1039;13;1026;363;117;410;45;54;11;3;;1;1;15;6;
G41416;Riedau;1527;1210;15;1195;320;209;436;73;79;28;9;;3;9;20;9;
G41417;St. Aegidi;1284;1094;19;1075;445;95;394;45;53;10;12;;3;1;13;4;
G41418;St. Florian am Inn;2311;1768;12;1756;504;289;640;120;116;29;14;;8;4;25;7;
G41419;St. Marienkirchen bei Schärding;1469;1110;8;1102;385;101;415;66;85;23;5;;3;1;11;7;
G41420;St. Roman;1433;1176;21;1155;437;76;472;45;72;20;9;;6;0;8;10;
G41421;St. Willibald;910;768;16;752;223;70;326;25;58;18;13;;3;0;11;5;
G41422;Schärding;3649;2575;20;2555;670;534;801;214;209;41;20;;13;6;33;14;
G41423;Schardenberg;1671;1359;10;1349;560;137;445;80;68;18;7;;4;1;21;8;
G41424;Sigharting;673;559;7;552;215;62;208;17;33;4;3;;2;1;4;3;
G41425;Suben;1011;774;11;763;267;111;236;43;55;19;5;;4;6;11;6;
G41426;Taufkirchen an der Pram;2270;1776;9;1767;574;246;682;100;82;30;10;;2;1;25;15;
G41427;Vichtenstein;434;336;5;331;138;25;114;15;15;7;4;;3;0;7;3;
G41428;Waldkirchen am Wesen;971;799;15;784;284;124;271;24;40;16;4;;2;1;8;10;
G41429;Wernstein am Inn;1166;945;12;933;308;152;313;66;56;11;10;;1;1;10;5;
G41430;Zell an der Pram;1548;1184;25;1159;428;121;348;113;76;27;8;;5;2;20;11;
G41499;Wahlkarten - Schärding;0;891;14;877;250;124;221;103;92;26;26;;5;1;19;10;
G41500;Steyr-Land;48305;40673;471;40202;10977;8439;12134;3114;3178;751;374;;242;68;662;263;
G41501;Adlwang;1617;1318;17;1301;391;187;452;118;76;22;9;;11;8;16;11;
G41502;Aschach an der Steyr;1860;1602;21;1581;376;296;470;164;167;37;22;;9;0;26;14;
G41503;Bad Hall;4222;3143;40;3103;865;563;933;254;307;68;22;;18;9;45;19;
G41504;Dietach;2643;2125;22;2103;533;469;550;241;182;37;22;;11;6;42;10;
G41505;Gaflenz;1532;1284;13;1271;411;204;415;75;93;16;16;;3;0;22;16;
G41506;Garsten;5144;4261;54;4207;1129;881;1187;419;333;73;41;;36;3;67;38;
G41507;Großraming;2136;1851;19;1832;567;428;510;116;111;26;25;;5;2;28;14;
G41508;Laussa;972;867;10;857;256;130;310;48;48;12;24;;6;1;15;7;
G41509;Losenstein;1349;1117;13;1104;258;281;334;85;80;27;7;;5;1;22;4;
G41510;Maria Neustift;1274;1091;10;1081;364;106;427;58;74;20;15;;5;0;8;4;
G41511;Pfarrkirchen bei Bad Hall;1836;1495;20;1475;420;285;447;103;148;29;11;;6;1;19;6;
G41512;Reichraming;1380;1156;9;1147;198;386;403;40;53;13;11;;8;3;24;8;
G41513;Rohr im Kremstal;1108;880;8;872;278;163;257;66;65;10;5;;3;3;17;5;
G41514;St. Ulrich bei Steyr;2560;2184;21;2163;677;379;631;195;173;30;13;;21;1;29;14;
G41515;Schiedlberg;1018;845;6;839;356;86;231;56;68;11;7;;2;0;16;6;
G41516;Sierning;7320;5765;71;5694;1196;1562;1771;382;451;109;49;;32;22;87;33;
G41517;Ternberg;2689;2206;31;2175;578;496;674;122;156;51;32;;14;1;37;14;
G41518;Waldneukirchen;1779;1534;21;1513;484;283;443;87;122;33;17;;6;3;32;3;
G41521;Wolfern;2735;2300;20;2280;725;440;683;158;155;43;9;;16;4;33;14;
G41522;Weyer;3131;2574;30;2544;645;580;767;220;188;48;12;;15;0;50;19;
G41599;Wahlkarten - Steyr-Land;0;1075;15;1060;270;234;239;107;128;36;5;;10;0;27;4;
G41600;Urfahr-Umgebung;69840;60157;664;59493;17825;10958;14593;6613;5828;1101;516;;408;57;1054;540;
G41601;Alberndorf in der Riedmark;3373;2858;36;2822;791;460;940;234;221;53;34;;14;3;45;27;
G41602;Altenberg bei Linz;3793;3293;32;3261;1303;457;696;344;307;35;24;;28;5;39;23;
G41603;Bad Leonfelden;3419;2787;40;2747;897;373;852;234;219;62;33;;12;5;37;23;
G41604;Eidenberg;1719;1485;24;1461;546;170;336;159;139;34;19;;18;1;22;17;
G41605;Engerwitzdorf;7228;5968;74;5894;1519;1161;1650;619;583;109;56;;48;3;85;61;
G41606;Feldkirchen an der Donau;4503;3682;39;3643;1037;808;992;296;295;79;30;;18;1;53;34;
G41607;Gallneukirchen;5244;4212;33;4179;1014;994;878;588;434;69;22;;30;3;113;34;
G41608;Goldwörth;661;565;7;558;210;88;117;62;36;15;6;;7;0;14;3;
G41609;Gramastetten;4089;3409;36;3373;1155;515;676;468;397;49;23;;13;2;55;20;
G41610;Haibach im Mühlkreis;774;664;9;655;209;104;209;47;47;15;7;;2;0;9;6;
G41611;Hellmonsödt;1897;1563;11;1552;424;244;417;177;178;32;16;;16;0;25;23;
G41612;Herzogsdorf;2227;1858;20;1838;630;243;596;134;128;39;26;;6;1;18;17;
G41613;Kirchschlag bei Linz;1747;1423;24;1399;429;204;357;162;162;25;15;;14;0;23;8;
G41614;Lichtenberg;2325;1974;13;1961;614;329;377;275;275;29;12;;5;0;32;13;
G41615;Oberneukirchen;2612;2194;31;2163;734;311;584;199;165;48;26;;24;3;45;24;
G41616;Ottenschlag im Mühlkreis;450;392;6;386;133;59;106;17;40;11;1;;3;1;8;7;
G41617;Ottensheim;3714;3113;28;3085;811;653;513;590;319;42;27;;26;6;80;18;
G41618;Puchenau;3664;3054;14;3040;758;632;538;523;405;45;22;;23;1;71;22;
G41619;Reichenau im Mühlkreis;1070;866;10;856;277;150;234;54;76;21;8;;4;1;25;6;
G41620;Reichenthal;1225;1006;10;996;349;194;271;51;77;16;7;;7;2;6;16;
G41621;St. Gotthard im Mühlkreis;1070;905;11;894;298;161;212;90;65;16;9;;11;1;19;12;
G41622;Schenkenfelden;1324;1139;11;1128;437;149;309;71;102;26;11;;4;0;14;5;
G41623;Sonnberg im Mühlkreis;857;747;9;738;226;122;207;57;67;15;10;;5;0;17;12;
G41624;Steyregg;3831;3127;25;3102;695;826;819;304;298;54;16;;9;5;46;30;
G41626;Walding;3434;2825;42;2783;826;622;561;315;290;58;10;;17;5;50;29;
G41627;Zwettl an der Rodl;1400;1187;16;1171;368;220;265;149;87;32;10;;11;2;18;9;
G41628;Vorderweißenbach;2190;1840;33;1807;688;253;541;88;140;29;12;;11;0;22;23;
G41699;Wahlkarten - Urfahr-Umgebung;0;2021;20;2001;447;456;340;306;276;43;24;;22;6;63;18;
G41700;Vöcklabruck;103473;83342;1202;82140;21605;15716;25772;6710;6859;1976;790;;476;150;1513;573;
G41701;Ampflwang im Hausruckwald;2452;1912;26;1886;353;630;623;74;92;43;14;;13;0;29;15;
G41702;Attersee am Attersee;1317;1042;12;1030;319;129;226;164;138;20;14;;4;0;11;5;
G41703;Attnang-Puchheim;5398;3713;44;3669;705;1027;1158;243;242;82;35;;23;31;90;33;
G41704;Atzbach;958;799;19;780;233;74;294;48;73;24;7;;6;1;14;6;
G41705;Aurach am Hongar;1460;1206;21;1185;268;257;413;67;92;33;16;;12;1;20;6;
G41706;Berg im Attergau;878;724;11;713;273;75;237;37;53;11;4;;1;0;10;12;
G41707;Desselbrunn;1475;1218;15;1203;360;250;384;66;79;19;10;;8;0;18;9;
G41708;Fornach;783;654;15;639;233;57;219;29;46;19;3;;5;0;14;14;
G41709;Frankenburg am Hausruck;3860;3070;53;3017;821;582;1068;137;201;93;28;;10;5;54;18;
G41710;Frankenmarkt;2604;1920;46;1874;521;341;626;125;132;47;13;;7;4;38;20;
G41711;Gampern;2418;2011;36;1975;639;331;596;131;162;48;15;;8;2;36;7;
G41712;Innerschwand am Mondsee;977;773;15;758;271;81;227;66;58;18;8;;5;1;19;4;
G41713;Lenzing;3804;2656;21;2635;420;774;969;160;151;54;18;;13;5;53;18;
G41714;Manning;658;554;7;547;169;87;170;38;47;15;8;;1;1;9;2;
G41715;Mondsee;2601;1843;19;1824;540;219;504;202;248;34;15;;5;1;51;5;
G41716;Neukirchen an der Vöckla;2075;1702;18;1684;485;277;573;124;117;45;13;;12;2;20;16;
G41717;Niederthalheim;856;657;21;636;190;72;213;49;58;17;13;;3;2;15;4;
G41718;Nußdorf am Attersee;892;682;8;674;260;59;200;52;73;9;4;;3;0;9;5;
G41719;Oberhofen am Irrsee;1297;1016;13;1003;306;155;343;68;80;9;6;;9;0;17;10;
G41720;Oberndorf bei Schwanenstadt;1063;853;14;839;178;173;319;62;57;17;11;;4;1;16;1;
G41721;Oberwang;1413;1123;38;1085;404;66;423;52;61;33;12;;9;0;14;11;
G41722;Ottnang am Hausruck;3060;2369;40;2329;479;517;882;154;149;61;17;;14;1;35;20;
G41723;Pfaffing;1245;984;19;965;227;232;307;56;84;28;8;;7;1;7;8;
G41724;Pilsbach;525;459;8;451;130;92;118;47;41;8;7;;1;0;5;2;
G41725;Pitzenberg;444;369;3;366;106;56;120;33;26;10;6;;2;1;4;2;
G41726;Pöndorf;1860;1444;24;1420;415;209;612;49;69;26;6;;1;1;20;12;
G41727;Puchkirchen am Trattberg;811;665;13;652;218;108;174;50;62;12;10;;4;0;11;3;
G41728;Pühret;497;407;9;398;122;76;131;28;19;3;6;;2;0;8;3;
G41729;Redleiten;422;308;4;304;71;48;147;3;18;7;3;;2;0;4;1;
G41730;Redlham;1289;1039;18;1021;261;196;322;66;86;35;7;;13;1;24;10;
G41731;Regau;5186;4092;56;4036;940;774;1390;349;319;82;61;;17;9;64;31;
G41732;Rüstorf;1708;1338;20;1318;291;273;453;89;114;31;13;;9;2;33;10;
G41733;Rutzenham;226;202;5;197;56;24;60;21;18;4;7;;2;0;4;1;
G41734;St. Georgen im Attergau;3361;2596;36;2560;725;377;873;200;220;76;24;;15;5;29;16;
G41735;St. Lorenz;1982;1567;16;1551;524;168;455;145;177;37;13;;5;1;21;5;
G41736;Schlatt;1083;822;9;813;237;154;237;69;61;22;5;;5;1;13;9;
G41737;Schörfling am Attersee;2762;2196;31;2165;455;478;653;224;217;52;18;;19;3;37;9;
G41738;Schwanenstadt;3057;2146;33;2113;452;447;709;205;142;43;22;;14;16;51;12;
G41739;Seewalchen am Attersee;4575;3585;44;3541;829;733;1028;338;380;104;40;;12;1;58;18;
G41740;Steinbach am Attersee;704;581;10;571;224;78;131;46;65;8;3;;2;1;10;3;
G41741;Straß im Attergau;1175;951;13;938;307;110;335;56;74;21;9;;2;0;16;8;
G41742;Tiefgraben;3101;2396;30;2366;796;251;692;204;256;68;23;;13;2;48;13;
G41743;Timelkam;4470;3378;49;3329;743;881;984;279;232;71;31;;21;13;58;16;
G41744;Ungenach;1158;980;12;968;294;115;310;107;74;24;7;;7;3;13;14;
G41745;Unterach am Attersee;1196;892;11;881;304;145;229;78;77;24;4;;3;0;8;9;
G41746;Vöcklabruck;8796;6273;56;6217;1390;1539;1563;716;595;120;53;;32;19;150;40;
G41747;Vöcklamarkt;3773;2849;40;2809;786;483;890;248;208;82;28;;18;5;39;22;
G41748;Weißenkirchen im Attergau;746;632;11;621;223;51;242;48;27;11;3;;4;1;10;1;
G41749;Weyregg am Attersee;1307;1038;10;1028;341;146;242;130;111;18;13;;10;1;12;4;
G41750;Wolfsegg am Hausruck;1494;1217;19;1198;299;274;352;111;81;33;8;;8;0;28;4;
G41751;Zell am Moos;1256;954;7;947;351;97;302;68;83;16;5;;6;0;14;5;
G41752;Zell am Pettenfirst;965;766;12;754;229;121;207;70;60;19;13;;13;0;14;8;
G41799;Wahlkarten - Vöcklabruck;0;3719;62;3657;832;747;837;429;454;130;50;;32;5;108;33;
G41800;Wels-Land;55762;45405;493;44912;11449;8277;15232;3241;4113;868;315;;272;102;740;303;
G41801;Aichkirchen;456;397;8;389;122;34;148;20;37;8;5;;3;0;8;4;
G41802;Bachmanning;511;425;2;423;121;94;119;37;24;11;1;;3;3;5;5;
G41803;Bad Wimsbach-Neydharting;1958;1619;23;1596;478;299;496;108;113;28;10;;13;2;38;11;
G41804;Buchkirchen;3340;2749;27;2722;676;567;915;184;243;43;16;;18;5;36;19;
G41805;Eberstalzell;2164;1734;18;1716;490;175;737;86;119;37;18;;12;3;28;11;
G41806;Edt bei Lambach;1778;1451;12;1439;434;258;477;98;101;31;8;;4;4;18;6;
G41807;Fischlham;1090;922;12;910;296;130;308;47;84;19;5;;1;1;13;6;
G41808;Gunskirchen;4730;3793;37;3756;949;779;1248;262;307;78;18;;23;17;51;24;
G41809;Holzhausen;837;713;3;710;167;127;246;53;74;23;3;;2;0;12;3;
G41810;Krenglbach;2512;2128;25;2103;541;439;609;187;226;40;9;;8;4;31;9;
G41811;Lambach;2474;1752;15;1737;430;364;571;133;130;28;6;;14;4;44;13;
G41812;Marchtrenk;10018;7501;80;7421;1336;1704;2820;448;637;147;71;;48;23;129;58;
G41813;Neukirchen bei Lambach;749;583;4;579;190;83;174;43;60;8;6;;2;0;8;5;
G41814;Offenhausen;1242;989;17;972;307;145;307;67;102;13;12;;4;0;11;4;
G41815;Pennewang;777;643;3;640;230;79;197;36;63;13;6;;5;0;8;3;
G41816;Pichl bei Wels;2187;1787;15;1772;456;323;601;133;164;31;9;;9;6;28;12;
G41817;Sattledt;1928;1466;22;1444;428;224;513;79;134;21;7;;7;2;21;8;
G41818;Schleißheim;1071;924;15;909;258;134;275;90;100;11;5;;11;0;17;8;
G41819;Sipbachzell;1643;1348;10;1338;407;188;452;86;133;27;9;;8;1;20;7;
G41820;Stadl-Paura;3558;2583;39;2544;510;562;923;187;176;68;23;;13;3;56;23;
G41821;Steinerkirchen an der Traun;1928;1601;21;1580;502;164;587;106;144;32;6;;5;0;18;16;
G41822;Steinhaus;2089;1711;12;1699;441;254;654;111;160;33;11;;8;1;18;8;
G41823;Thalheim bei Wels;4027;3273;30;3243;842;530;885;389;400;44;28;;24;14;70;17;
G41824;Weißkirchen an der Traun;2695;2232;26;2206;573;441;721;132;212;48;14;;16;1;35;13;
G41899;Wahlkarten - Wels-Land;0;1081;17;1064;265;180;249;119;170;26;9;;11;8;17;10;
G50000;Salzburg;391220;306563;3124;303439;95736;50955;83981;25883;27376;4635;1279;;1585;;10081;1928;
G50099;Wahlkarten - Salzburg;0;6;6;0;0;0;0;0;0;0;0;;0;;0;0;
G5A000;Salzburg Stadt;94828;68260;524;67736;17585;14089;14176;9134;6758;761;226;;455;;4207;345;
G5A099;Wahlkarten - Salzburg Stadt;0;564;6;558;155;133;69;80;73;8;2;;4;;33;1;
G5B000;Flachgau/Tennengau;158777;127943;1307;126636;40513;18962;35581;11411;11916;2102;655;;753;;3857;886;
G5B099;Wahlkarten - Flachgau/Tennengau;0;349;3;346;56;70;56;66;62;6;4;;5;;18;3;
G5C000;Lungau/Pinzgau/Pongau;137615;110354;1287;109067;37638;17904;34224;5338;8702;1772;398;;377;;2017;697;
G5C099;Wahlkarten - Lungau/Pinzgau/Pongau;0;279;1;278;65;42;48;48;54;4;1;;3;;12;1;
G50100;Salzburg Stadt;94828;67696;518;67178;17430;13956;14107;9054;6685;753;224;;451;;4174;344;
G50101;Salzburg;94828;65477;511;64966;16981;13460;13831;8621;6348;720;217;;442;;4012;334;
G50199;Wahlkarten - Salzburg Stadt;0;2219;7;2212;449;496;276;433;337;33;7;;9;;162;10;
G50200;Hallein;43464;34759;370;34389;10832;5793;9773;2892;2946;558;145;;201;;1004;245;
G50201;Abtenau;4513;3777;50;3727;1473;537;1090;164;309;50;9;;12;;51;32;
G50202;Adnet;2895;2342;31;2311;841;314;652;186;196;35;6;;9;;49;23;
G50203;Annaberg-Lungötz;1679;1412;18;1394;596;229;412;38;72;13;5;;7;;15;7;
G50204;Golling an der Salzach;3103;2482;20;2462;691;475;694;202;247;44;8;;15;;71;15;
G50205;Hallein;13763;9522;95;9427;2212;2117;2666;937;790;136;50;;53;;408;58;
G50206;Krispl;710;635;6;629;258;79;202;25;34;15;4;;2;;5;5;
G50207;Kuchl;5425;4354;43;4311;1446;555;1266;384;381;86;17;;36;;110;30;
G50208;Oberalm;3215;2591;26;2565;805;439;598;318;247;40;13;;12;;80;13;
G50209;Puch bei Hallein;3450;2742;17;2725;863;459;619;317;270;61;13;;20;;85;18;
G50210;Rußbach am Paß Gschütt;620;515;7;508;193;99;149;13;26;5;0;;5;;14;4;
G50211;Sankt Koloman;1391;1206;15;1191;480;75;481;41;75;9;5;;4;;12;9;
G50212;Scheffau am Tennengebirge;1153;984;15;969;337;96;359;47;69;24;5;;6;;12;14;
G50213;Bad Vigaun;1547;1275;18;1257;404;160;413;89;103;26;5;;9;;40;8;
G50299;Wahlkarten - Hallein;0;922;9;913;233;159;172;131;127;14;5;;11;;52;9;
G50300;Salzburg-Umgebung;115313;92835;934;91901;29625;13099;25752;8453;8908;1538;506;;547;;2835;638;
G50301;Anif;3082;2368;18;2350;807;300;552;268;291;35;6;;21;;58;12;
G50302;Anthering;2858;2309;22;2287;835;254;606;241;193;47;11;;11;;68;21;
G50303;Bergheim;3976;3168;25;3143;1162;422;723;349;313;38;9;;19;;89;19;
G50304;Berndorf bei Salzburg;1380;1049;13;1036;368;128;309;64;91;24;7;;12;;23;10;
